Datetime,Tweet Id,Text,Username
2023-03-30 20:38:09+00:00,1641540336685301760,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
9. Am really ashamed by My fellow media colleaguesKwa walio umia ugueni poleIla iwe funzo not every story is worth being limelight it only worth being told",njagi_dave
2023-03-30 20:36:43+00:00,1641539975450701824,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
8.Tupo mbioni kuangazia Nani kasema na nini alicho kisema bila kutathmini nini hasa kasema.",njagi_dave
2023-03-30 20:36:15+00:00,1641539859662745601,"#MaandamanoThursdays 
#Raila https://t.co/vrwrZlKu6B",nohvinvinny
2023-03-30 20:35:27+00:00,1641539657455247360,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
7. Every media house wants to have the best sales.Tumesahau kazi wacha tuuze Sura kabisa.",njagi_dave
2023-03-30 20:34:20+00:00,1641539378336940033,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
6. in peace .....we are busy running after Baba,Gachagua and the rest ili kuuza Sura .....

Tuta uza lini Sera .",njagi_dave
2023-03-30 20:32:43+00:00,1641538972286345217,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
5.Mortuary imefunguliwa Jana is now in shambles, businesses are making losses. A church and mosque have been burnt.Pwani Uni. Ooooh Lord May their souls ...",njagi_dave
2023-03-30 20:32:06+00:00,1641538813653647361,"""As a law enforcement agency, we wish to reiterate our commitment to discharge our Constitutional mandate which is to serve and protect, without fear or favor, while adhering to the rule of law and utmost respect for human rights."" ~ @NPSOfficial_KE #MaandamanoThursdays https://t.co/PtADYZAfxD",SwalaNyetiKe
2023-03-30 20:30:34+00:00,1641538427924660224,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
4. Every station on the daily, morning,evening and night we busy creating more tension than healing.
Who's highlighting on the aftermath in Kisumu.",njagi_dave
2023-03-30 20:30:00+00:00,1641538285989408773,"Farmers in Murinduko's Karuangi village Mwea, Kirinyaga County, are counting losses after monkeys invaded their farms.

https://t.co/mjJKshHxbu

#MONKEYS #farm #MaandamanoThursdays",waza_news
2023-03-30 20:29:46+00:00,1641538226673573888,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
3.Who's focusing on the aftermath of the demos?
Why should we give The Kuzimia or The Kenya KwishaTeam all these platforms to parade their anachry.",njagi_dave
2023-03-30 20:28:48+00:00,1641537983730819085,"@RashidAbdalla @YvonneOkwara @LinusKaikai @KoinangeJeff @citizentvkenya @NationAfrica @StandardKenya 
#MaandamanoThursdays 
2. Let Martha Rarua,Tikiti Maji na Mzee wa Kuzimia be on the forefront with their amoured vehicles.",njagi_dave
2023-03-30 20:27:35+00:00,1641537677991223301,"This is Kenya 
Kuboeka ni wewe 
#MaandamanoThursdays https://t.co/GGmKYEStYQ",teabag_ke
2023-03-30 20:27:29+00:00,1641537651340632065,"Imagine images from Kenya today 🤔
From being an icon of democracy in the region &amp; envy to neighbouring countries, We are quickly loosing it as a country Kenya at an alarming rate. We're going back to things we have fought, anarchy dictatorship tyranny #MaandamanoThursdays #Raila https://t.co/ocSj1j7eLv",retired_comrade
2023-03-30 20:25:53+00:00,1641537249341743114,"There's no justification for the excessive force used against peaceful unarmed citizens exercising their democratic rights today. The unprovoked attack left my car hit with 7 live bullets, each aimed at me. Despite this, we won't be deterred."" ~ Raila Odinga #MaandamanoThursdays https://t.co/m10Xzpljh1",SwalaNyetiKe
2023-03-30 20:25:34+00:00,1641537172560830464,"If Raila was shot at, he would show the holes in 4K resolution. Citizen TV would make a 6-hour documentary with US &amp; German experts flown in. Ojinga should show us the Holes on his Car. Attached is how Bullet Holes appear on the Car. Just Incase he forgot.  #MaandamanoThursdays https://t.co/ujpi6nNAzm",Princeof_Kenya
2023-03-30 20:24:21+00:00,1641536865630035990,"#MaandamanoThursdays 

Lethal truth from EALA MP @HassanOmarH . https://t.co/Bj6wCSkKez",MayiekaKelvin
2023-03-30 20:23:20+00:00,1641536606904492032,"For a moment I thought it was some scene of Jean Claude vandame movie. Kumbe it's Government operation to stop opposition protests.... @IG_NPS stop this now. It's not RIGHT.
#MAANDAMANOTHURSDAYS https://t.co/mq7XPQEPTl",OgolaSirikal
2023-03-30 20:20:55+00:00,1641536000970072073,"The nation will find it very hard to look up to the leaders who are keeping their ears to the ground
~Sir Winston Churchill
Ifikie @WilliamsRuto @rigathi @UhaiWetu @hrw @ntvkenya @Article43Rights @article19org @DrRoselynAkombe @stellah_kaviti @bonifacemwangi
#MaandamanoThursdays https://t.co/AP5AB8PxnT",habibomar201
2023-03-30 20:19:26+00:00,1641535626859126806,"@WilliamsRuto 
Bibilia uliweka chini na katiba pia?
We need our constitution back
#stoppolicebrutality
#MaandamanoMondays 
#MaandamanoThursdays",GathuaGachora
2023-03-30 20:19:18+00:00,1641535595825471508,"A PEOPLE UNITED SHALL NEVER BE DEFEATED! NO AMOUNT OF FORCE BY GOON-VERMENT WHETHER THROUGH USE OF TEARGAS, WATER CANNONS, BATONS OR BULLETS WILL STOP KENYANS FROM DEMANDING RESTORATION OF SUBSIDIES ON FUEL,ELECTRICITY,FOOD ETC TO EASE BURDEN ON WANANCHI!✊🇰🇪
#MaandamanoThursdays https://t.co/XUfxlgKO5S",Reptile_ke
2023-03-30 20:19:03+00:00,1641535531564539915,"Hii sasa haibambi.                        Yenye                          ______________                       inabamba ni hii

#MaandamanoMondays 
#MaandamanoThursdays https://t.co/C1pQlDJY53",Hezzy81651768
2023-03-30 20:17:56+00:00,1641535248860168192,"Revolutions are started by poor, ordinary people NOT some rich billionaires who live in porch estates.  #MaandamanoThursdays",JereShariff
2023-03-30 20:17:54+00:00,1641535239783587840,Smh no one talking about the two dead police men stoned to death in pipeline  ...this should stop #raila #MaandamanoThursdays #MaandamanoMondays,KathumoMumo
2023-03-30 20:16:16+00:00,1641534829895229452,"#MaandamanoThursday  #MaandamanoMondays #RailaOdinga #pipeline #OuteringRoad….. if you don’t gerrit, then……………… it! https://t.co/13NpfjNYMk",RealChalz19
2023-03-30 20:16:03+00:00,1641534775746764828,Do or do not. There is no try. #kenyandictionary #dailyquotes #quotes #kenyanquotes #MaandamanoThursdays https://t.co/WaTBzNnWkn,Ke_Dictionary
2023-03-30 20:15:55+00:00,1641534742796312579,Fellow Kenyans @USAmbKenya &amp; @JaneMarriottUK Helped Get This Illegitimate Govt To Power For Corrupt Kickbacks Later on...Now They're Sanitizing Police Brutality and advising This Government To arrest BABA @RailaOdinga When Time Comes YOU SHALL PACK AND GO!! #MaandamanoThursdays https://t.co/LcjgqHZMFX,Reptile_ke
2023-03-30 20:14:40+00:00,1641534428311592972,"#MaandamanoThursdays

STOP THE ATTACKS: March 2023 remains the darkest month for Kenyan media since the clamour for multiparty democracy. MCK have  so far documented  cases of attacks on local and foreign journalists at the hands of State and non-State actors https://t.co/sQNyCf7BqI",edwinotis123
